layer,method,auc,aoc
instance_perturbation_module.backbone.ERBlock_3.1.conv1.rbr_1x1.conv,random,0.43894571615677225,0.573864949100393
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,GradCAM,0.5792812130135712,0.8688942296589086
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,Gradient,0.5747277949056525,0.8693870979640953
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,LRP-eps,0.5477431377354175,0.6245323804832559
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,LRP-gamma,0.5471003139501103,0.6430545273549116
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,LRP-zplus,0.5862893238580167,0.8699069631919693
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,activation,0.2877880769098212,0.8336947908263844
instance_perturbation_module.neck.Bifusion2.cv3.block.conv,random,0.23932494273154964,0.7670515769842169
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,GradCAM,0.8429969447819257,0.9565495574391225
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,Gradient,0.8434098803302099,0.9565495574391225
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,LRP-eps,0.8468279958032862,0.9051841463233201
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,LRP-gamma,0.8472535934406827,0.9545120518111758
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,LRP-zplus,0.8451058465235459,0.9565495574391225
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,activation,0.18149585186338812,0.9493356808071793
instance_perturbation_module.neck.Rep_n4.conv1.rbr_1x1.conv,random,0.1762432790081071,0.9444448820393827
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,GradCAM,0.7542222769006751,0.7476017179509837
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,Gradient,0.7031888887172796,0.7342844733005632
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,LRP-eps,0.2262801110666717,0.5734002248874872
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,LRP-gamma,0.23624043401174405,0.6005713147142278
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,LRP-zplus,0.5347933489229292,0.39818728029780026
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,activation,0.4856954642934619,0.7089684044689872
instance_perturbation_module.neck.Rep_p4.block.1.rbr_1x1.conv,random,0.4718226376503609,0.39851890129134576
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,GradCAM,0.7307916535102803,0.7853088256513469
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,Gradient,0.7330517571512548,0.6890846890538405
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,LRP-eps,0.32141540016180414,0.7724771632819013
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,LRP-gamma,0.4375024619517871,0.6504130818532068
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,LRP-zplus,0.5886323961176844,0.7646261950681689
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,activation,0.6730478167564503,0.6533512259882404
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_1x1.conv,random,0.29846897726984356,0.7333521335256713
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_1x1.conv,random,0.0,1.0
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,GradCAM,0.40975635965155566,0.5543003554154438
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,Gradient,0.6023473421071827,0.5082807886852558
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,LRP-eps,0.11002621031056231,0.7539854925720691
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,LRP-gamma,0.4991782263731418,0.3346793183339847
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,LRP-zplus,0.6057912751481275,0.7373881622056035
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,activation,0.7292979611509176,0.6943083836776487
instance_perturbation_module.backbone.ERBlock_5.1.conv1.rbr_1x1.conv,random,0.41785422333722355,0.6474128210781949
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,GradCAM,0.5066138702711033,0.8152681636583072
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,Gradient,0.4628961841175398,0.8194894891771088
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,LRP-eps,0.3175982559309284,0.8960727449569309
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,LRP-gamma,0.40575987006586994,0.3486775594759881
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,LRP-zplus,0.5766351833723495,0.5128681199492376
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,activation,0.35507442049196053,0.35627069538860445
instance_perturbation_module.backbone.ERBlock_5.0.rbr_1x1.conv,random,0.8135851814305253,0.3662523315399401
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,GradCAM,0.6954174112325346,0.6058003092125948
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,Gradient,0.6959105806382327,0.7171818346609529
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,LRP-eps,0.2134611841083536,0.7591911702263824
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,LRP-gamma,0.3833112868985541,0.5905682216355321
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,LRP-zplus,0.6743957671394135,0.4808809356489093
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,activation,0.28639692163045444,0.3296150085621018
instance_perturbation_module.neck.Rep_p4.block.2.rbr_1x1.conv,random,0.38465739075296834,0.49286466523623407
instance_perturbation_module.backbone.stem.rbr_1x1.conv,GradCAM,0.19583550879920608,0.49764457139268703
instance_perturbation_module.backbone.stem.rbr_1x1.conv,Gradient,0.2097330745807649,0.5168214774896495
instance_perturbation_module.backbone.stem.rbr_1x1.conv,LRP-eps,0.3168310874919245,0.7523485413254787
instance_perturbation_module.backbone.stem.rbr_1x1.conv,LRP-gamma,0.3581561560728855,0.6718758476652552
instance_perturbation_module.backbone.stem.rbr_1x1.conv,LRP-zplus,0.22516942955804037,0.7333539673437249
instance_perturbation_module.backbone.stem.rbr_1x1.conv,activation,0.5680524623150112,0.6918669865863951
instance_perturbation_module.backbone.stem.rbr_1x1.conv,random,0.31227762619602417,0.6142673343182973
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,GradCAM,0.8349933379847451,0.6773423679810191
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,Gradient,0.841547904575626,0.6849916774406274
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,LRP-eps,0.31902094955321464,0.6689191388358322
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,LRP-gamma,0.41281947653818646,0.7012683341978523
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,LRP-zplus,0.7894191613799464,0.28111258225097835
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,activation,0.4787670555274979,0.5100878253375956
instance_perturbation_module.neck.Rep_p4.block.0.rbr_1x1.conv,random,0.27833158575663125,0.5987727555403505
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,GradCAM,0.7490854323943168,0.9509492846261086
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,Gradient,0.7478831261856049,0.9508516097398722
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,LRP-eps,0.7562873164338587,0.9013871105278181
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,LRP-gamma,0.7540104485392816,0.9176332541890221
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,LRP-zplus,0.7508458482816118,0.950847978526923
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,activation,0.313737687249251,0.9621848739495799
instance_perturbation_module.neck.Rep_n4.block.1.rbr_1x1.conv,random,0.2377026132268896,0.2431116622089373
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,GradCAM,0.17143694302922544,0.6567619878311918
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,Gradient,0.1812254840469447,0.7408919162430512
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,LRP-eps,0.33654260346827697,0.700272786689391
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,LRP-gamma,0.23925362521337523,0.5849743240572289
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,LRP-zplus,0.3230451489046228,0.5124753434336223
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,activation,0.2809329861455454,0.6610335034506776
instance_perturbation_module.neck.Rep_p5.block.0.rbr_1x1.conv,random,0.27845704247656095,0.5874675045668667
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,GradCAM,0.625995833494454,0.756984867744359
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,Gradient,0.6274812446529141,0.7418202056800005
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,LRP-eps,0.506022776228623,0.40102641919791054
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,LRP-gamma,0.5009447074383455,0.5373844010784968
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,LRP-zplus,0.6741124769973563,0.7341862225721796
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,activation,0.6113317085493901,0.6153604568043815
instance_perturbation_module.neck.Rep_p3.conv1.rbr_1x1.conv,random,0.3647496657264029,0.5818830217939785
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,GradCAM,0.8777875336061916,0.5151574247499153
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,Gradient,0.8326569709235581,0.6966694373951235
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,LRP-eps,0.5329883859488159,0.5780912029998754
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,LRP-gamma,0.5128225354650278,0.3624709861715828
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,LRP-zplus,0.6371566057524146,0.7234913531520167
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,activation,0.47350510636666854,0.616955688185763
instance_perturbation_module.backbone.ERBlock_3.0.rbr_1x1.conv,random,0.34147973094314293,0.3116972713828085
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,GradCAM,0.8736748352454683,0.8458596446485904
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,Gradient,0.8066291010104599,0.8431465939140536
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,LRP-eps,0.13128005964950418,0.7029191244495955
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,LRP-gamma,0.23512762984054653,0.22750890122854978
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,LRP-zplus,0.6048213368801946,0.533014207529068
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,activation,0.7861823438183195,0.541632526783374
instance_perturbation_module.backbone.ERBlock_6.1.conv1.rbr_1x1.conv,random,0.5291779368389724,0.5088855945460037
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,GradCAM,0.650873538446052,0.5718688849110531
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,Gradient,0.6393397196572839,0.6407909590868079
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,LRP-eps,0.5440425352533116,0.4818958253480138
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,LRP-gamma,0.5404238828209802,0.5513212841942158
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,LRP-zplus,0.687392059234715,0.7027030169823594
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,activation,0.4802583839954656,0.6198019670004804
instance_perturbation_module.neck.Rep_p3.block.0.rbr_1x1.conv,random,0.35902017043225654,0.6062550996565617
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n5.conv1.rbr_1x1.conv,random,0.0,1.0
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,GradCAM,0.6318727434091973,0.641786059815673
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,Gradient,0.650022597256766,0.6206546710492853
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,LRP-eps,0.5809477023268781,0.4958024522868467
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,LRP-gamma,0.6126264558046444,0.4694464416252619
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,LRP-zplus,0.6743142756358674,0.5842492714985061
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,activation,0.46080435053779634,0.6167390720188297
instance_perturbation_module.neck.Bifusion2.cv2.block.conv,random,0.3752861347546947,0.5652752886707939
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,GradCAM,0.6060323124374799,0.6367864023843973
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,Gradient,0.583739471359844,0.6342018057832642
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,LRP-eps,0.14698391049059034,0.5447671017079451
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,LRP-gamma,0.303851053278791,0.6424534269618875
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,LRP-zplus,0.43770857313085076,0.4003582392233892
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,activation,0.37789356963286247,0.450822061052333
instance_perturbation_module.backbone.ERBlock_4.1.block.3.rbr_1x1.conv,random,0.1409393077234096,0.24264173432448025
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,GradCAM,0.4580776099921323,0.6980855361015663
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,Gradient,0.4809022618117457,0.7009150895377133
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,LRP-eps,0.5441641243331047,0.5966860075092261
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,LRP-gamma,0.5016484690369152,0.646072990908977
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,LRP-zplus,0.47669964578186874,0.7264309452641414
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,activation,0.40448723717085333,0.6657283904975657
instance_perturbation_module.backbone.ERBlock_2.1.block.0.rbr_1x1.conv,random,0.35764202174742415,0.6218773535022563
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,GradCAM,0.6644913466614556,0.8016141185243878
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,Gradient,0.6636119433504254,0.7788282185183671
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,LRP-eps,0.42931783170552346,0.8310758495679033
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,LRP-gamma,0.23809193833177877,0.4942135535573826
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,LRP-zplus,0.8111710161292858,0.5487915991375925
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,activation,0.7570320674236957,0.40624417812371383
instance_perturbation_module.backbone.ERBlock_6.0.rbr_1x1.conv,random,0.6854292071930619,0.2781075987342431
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,GradCAM,0.4773297401936174,0.6283260104743853
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,Gradient,0.4987202368372834,0.6359014485112026
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,LRP-eps,0.45151602247119277,0.7968099644662522
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,LRP-gamma,0.23385685696032085,0.2707120495081749
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,LRP-zplus,0.7198341421725908,0.20568334296522345
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,activation,0.5463831091633031,0.23478951928755276
instance_perturbation_module.neck.Bifusion0.downsample.block.conv,random,0.5350481167800971,0.3092707591284152
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,GradCAM,0.6188184594203596,0.621911091682179
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,Gradient,0.6129413828260848,0.6827030032678278
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,LRP-eps,0.6086548408627114,0.5313262848136986
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,LRP-gamma,0.509526441364935,0.5721529112470158
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,LRP-zplus,0.5728041384607367,0.5181038093930128
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,activation,0.5017251891958039,0.5949421536046425
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_1x1.conv,random,0.43926860651524574,0.46404760142787244
instance_perturbation_module.neck.Bifusion1.cv2.block.conv,GradCAM,0.7928333354783373,0.765698949241692
