layer,method,auc,aoc
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,Gradient,0.34863562458943725,0.6326188417107848
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,LRP-eps,0.394606667215397,0.5659821571677394
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,LRP-gamma,0.2438967739746636,0.5101805660252237
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,LRP-zplus,0.41943061977728585,0.30417787115162664
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,activation,0.386282650064495,0.36008197979858203
instance_perturbation_module.neck.Rep_p4.block.1.rbr_dense.conv,random,0.39193172473779736,0.4203524300395002
instance_perturbation_module.detect.reg_preds.0,GradCAM,0.13197255434478292,0.8688594697112481
instance_perturbation_module.detect.reg_preds.0,Gradient,0.13197255434478292,0.8688594697112481
instance_perturbation_module.detect.reg_preds.0,LRP-eps,0.13197255434478292,0.8688594697112481
instance_perturbation_module.detect.reg_preds.0,LRP-gamma,0.13197255434478292,0.8688594697112481
instance_perturbation_module.detect.reg_preds.0,LRP-zplus,0.13197255434478292,0.8688594697112481
instance_perturbation_module.detect.reg_preds.0,activation,0.1269510570562338,0.8725630081173075
instance_perturbation_module.detect.reg_preds.0,random,0.1305312748167457,0.8656180819781744
instance_perturbation_module.detect.reg_convs.1.block.conv,GradCAM,0.3290848578852304,0.5366026847771861
instance_perturbation_module.detect.reg_convs.1.block.conv,Gradient,0.3290848578852304,0.5366026847771861
instance_perturbation_module.detect.reg_convs.1.block.conv,LRP-eps,0.3290848578852304,0.5366026847771861
instance_perturbation_module.detect.reg_convs.1.block.conv,LRP-gamma,0.3290848578852304,0.5366026847771861
instance_perturbation_module.detect.reg_convs.1.block.conv,LRP-zplus,0.3290848578852304,0.5366026847771861
instance_perturbation_module.detect.reg_convs.1.block.conv,activation,0.2643203107081198,0.34820854151661673
instance_perturbation_module.detect.reg_convs.1.block.conv,random,0.36363186849453155,0.6017798199746351
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.2.rbr_dense.conv,LRP-gamma,0.0,1.0
